 ,blur_difference,epsnr,noise_difference,psnr,ssim
blur_difference,1.0,0.27898055661520105,0.6697864710920137,0.32752289561337383,0.5522721171694969
epsnr,0.27898055661520105,1.0,0.29396355069779334,0.3208505044549816,0.6375634248099974
noise_difference,0.6697864710920137,0.29396355069779334,1.0,0.2540167828617865,0.7576936637652932
psnr,0.32752289561337383,0.3208505044549816,0.2540167828617865,1.0,0.31971083003027534
ssim,0.5522721171694969,0.6375634248099974,0.7576936637652932,0.31971083003027534,1.0
