 ,blur_difference,epsnr,noise_difference,psnr,ssim,sort_mos
blur_difference,0.9999999999999999,-0.04074709357728225,0.8448417162143527,0.31252144082332756,-0.23194206213074134,-0.21440823327615777
epsnr,-0.04074709357728225,0.9999999999999999,-0.011968972157160564,0.18498189441585666,0.7048980369735086,0.37007813988946053
noise_difference,0.8448417162143527,-0.011968972157160564,1.0,0.20141416840266374,-0.22874459208637113,-0.1529283958424464
psnr,0.31252144082332756,0.18498189441585666,0.20141416840266374,0.9999999999999999,-0.015437392795883359,-0.0489803697350867
ssim,-0.23194206213074134,0.7048980369735086,-0.22874459208637113,-0.015437392795883359,0.9999999999999999,0.6754716981132074
sort_mos,-0.21440823327615777,0.37007813988946053,-0.1529283958424464,-0.0489803697350867,0.6754716981132074,0.9999999999999999
