 ,blur_difference,epsnr,noise_difference,psnr,ssim,sort_mos
blur_difference,1.0,0.08031274347201135,0.5524080398915824,0.21865866435338405,-0.11644395395337943,-0.11436202280645354
epsnr,0.08031274347201135,1.0,-0.2286114749764157,0.17179650438291547,0.5716343786046448,0.4206546245326326
noise_difference,0.5524080398915824,-0.2286114749764157,1.0,-0.05736300440939149,-0.7681675764300115,-0.7215931091178807
psnr,0.21865866435338405,0.17179650438291547,-0.05736300440939149,1.0,0.1865868960871112,0.0944695786159061
ssim,-0.11644395395337943,0.5716343786046448,-0.7681675764300115,0.1865868960871112,0.9999999999999998,0.8962122701346859
sort_mos,-0.11436202280645354,0.4206546245326326,-0.7215931091178807,0.0944695786159061,0.8962122701346859,1.0
