 ,blur_difference,epsnr,noise_difference,psnr,ssim,sort_mos
blur_difference,0.9999999999999998,-0.04122990915443745,0.6696959514291481,0.19636617749825297,-0.15024458420684836,-0.13766596785464708
epsnr,-0.04122990915443745,0.9999999999999998,-0.01817546423502907,0.16142557651991613,0.47728860936408096,0.2606568832983927
noise_difference,0.6696959514291481,-0.01817546423502907,1.0,0.08528487064129026,-0.16357917811526163,-0.11184901067710198
psnr,0.19636617749825297,0.16142557651991613,0.08528487064129026,0.9999999999999998,-0.0006988120195667365,-0.02725366876310272
ssim,-0.15024458420684836,0.47728860936408096,-0.16357917811526165,-0.0006988120195667365,0.9999999999999998,0.5150244584206848
sort_mos,-0.13766596785464708,0.2606568832983927,-0.11184901067710197,-0.02725366876310272,0.5150244584206848,0.9999999999999998
