 ,blur_difference,epsnr,noise_difference,psnr,ssim,sort_mos
blur_difference,1.0,0.27898055659428034,0.6697864711429481,0.3275228956693797,0.5522721171694969,0.520102596396697
epsnr,0.27898055659428034,1.0,0.2939635507133801,0.3208505042616714,0.6375634248079264,0.45673855532188606
noise_difference,0.6697864711429481,0.2939635507133801,1.0,0.25401678383683163,0.7576936637978722,0.6766968763619691
psnr,0.3275228956693797,0.3208505042616714,0.25401678383683163,1.0,0.3197108300390704,0.22103584822665664
ssim,0.5522721171694969,0.6375634248079264,0.7576936637978722,0.3197108300390704,1.0,0.8491348629345078
sort_mos,0.520102596396697,0.45673855532188606,0.6766968763619691,0.22103584822665664,0.8491348629345078,1.0
